Date,Close,Volatility,MA_25,MA_100,Decline_Since_Last_Peak,Days_Since_Last_Peak,One_Week_Growth,RSI,Price_to_MA25,Price_to_MA100,Target
2024-02-01,16.329999923706055,0.028192402892298452,16.329999923706055,16.329999923706055,-0.9113319211268819,0,,50.0,1.0,1.0,0
2024-02-02,17.020000457763672,0.05354957110336499,16.675000190734863,16.675000190734863,-0.9075853796656356,0,,50.0,1.0206896709494793,1.0206896709494793,0
2024-02-05,16.719999313354492,0.07915725166694781,16.68999989827474,16.68999989827474,-0.9092143156888307,3,,50.0,1.0017974484878729,1.0017974484878729,0
2024-02-06,21.8700008392334,0.11921183089878593,17.985000133514404,17.985000133514404,-0.8812510123436538,0,,50.0,1.2160133820894132,1.2160133820894132,0
2024-02-07,23.600000381469727,0.11527785344869378,19.108000183105467,19.108000183105467,-0.871857519595452,0,,50.0,1.2350847893719359,1.2350847893719359,0
2024-02-08,24.510000228881836,0.07262102828066365,20.008333524068195,20.008333524068195,-0.8669164333356946,0,0.5009185758354462,50.0,1.2249895874335834,1.2249895874335834,0
2024-02-09,24.3799991607666,0.06150163175802389,20.632857186453684,20.632857186453684,-0.8676223087193495,1,0.4324323445975977,50.0,1.181610425567869,1.181610425567869,0
2024-02-12,25.049999237060547,0.07130907296474093,21.18499994277954,21.18499994277954,-0.8639843650642742,0,0.498205757523732,50.0,1.1824403731281723,1.1824403731281723,0
2024-02-13,24.010000228881836,0.05737358019865769,21.498888863457573,21.498888863457573,-0.8696313163512297,1,0.09785090569404153,50.0,1.1168019138743719,1.1168019138743719,0
2024-02-14,25.190000534057617,0.07225676467069013,21.868000030517578,21.868000030517578,-0.8632241907775338,0,0.06737288673250741,50.0,1.151911491627221,1.151911491627221,0
2024-02-15,25.40999984741211,0.029952075582190728,22.190000013871625,22.190000013871625,-0.8620296459790228,0,0.03671969033561018,50.0,1.145110402502369,1.145110402502369,0
2024-02-16,24.440000534057617,0.04427089303350056,22.37750005722046,22.37750005722046,-0.8672965153008364,1,0.0024610900474342223,50.0,1.092168493869433,1.092168493869433,0
2024-02-20,23.399999618530273,0.053900999965917344,22.456153869628906,22.456153869628906,-0.8729434769442487,5,-0.06586825025084875,50.0,1.0420306057030488,1.0420306057030488,0
2024-02-21,22.739999771118164,0.028699525181364913,22.47642857687814,22.47642857687814,-0.8765271216962385,6,-0.052894645799960394,71.81755882267399,1.0117265602646128,1.0117265602646128,0
2024-02-22,23.59000015258789,0.03786291579918548,22.550666681925456,22.550666681925456,-0.8719118184985375,7,-0.06351728255449929,73.35906985227379,1.0460888134848567,1.0460888134848567,0
2024-02-23,22.969999313354492,0.053123670357963046,22.57687497138977,22.57687497138977,-0.875278277994642,8,-0.09602520852852814,69.23076164348566,1.017412699608024,1.017412699608024,0
2024-02-26,23.559999465942383,0.04081626568313847,22.634705824010513,22.634705824010513,-0.872074715207794,11,-0.03600658956160563,71.70050515686003,1.0408794198222064,1.0408794198222064,0
2024-02-27,24.530000686645508,0.03787885173439079,22.73999998304579,22.73999998304579,-0.8668078355295236,12,0.04829064472378852,61.48531704148203,1.0787159500850607,1.0787159500850607,0
2024-02-28,24.420000076293945,0.024265876926853804,22.828421040585166,22.828421040585166,-0.8674051131070075,13,0.07387864213215756,54.11646313322136,1.0697191905160333,1.0697191905160333,0
2024-02-29,25.079999923706055,0.037605750798476424,22.94099998474121,22.94099998474121,-0.8638214683550177,14,0.06316234681985389,52.935115986798245,1.0932391761644027,1.0932391761644027,0
2024-03-01,24.93000030517578,0.04565220242985669,23.035714285714285,23.035714285714285,-0.8646359311883869,15,0.0853287353248533,52.826315840028165,1.0822325713874759,1.0822325713874759,0
2024-03-04,24.040000915527344,0.04303275629000986,23.081363677978516,23.081363677978516,-0.8694684196419732,18,0.020373576420442463,44.92463193925009,1.0415329549381627,1.0415329549381627,0
2024-03-05,23.809999465942383,0.04085977165947298,23.11304349484651,23.11304349484651,-0.8707172737000265,19,-0.029351863047240134,48.905904306224095,1.030154227471223,1.030154227471223,0
2024-03-06,26.15999984741211,0.08621356556716475,23.240000009536743,23.240000009536743,-0.8579573214557201,0,0.07125306165773893,54.70416588118832,1.1256454318707882,1.1256454318707882,0
2024-03-07,26.459999084472656,0.04146615437773228,23.36879997253418,23.36879997253418,-0.8563283957889818,0,0.05502389015010323,55.05293028505216,1.1322788981707073,1.1322788981707073,0
2024-03-08,26.040000915527344,0.054064037948871414,23.757200012207033,23.47153847034161,-0.8586088875798328,1,0.04452469301097883,58.13008153719862,1.0960888026428768,1.1094288066558233,0
2024-03-11,25.350000381469727,0.05948238874020394,24.090400009155275,23.541111133716726,-0.8623554290410791,4,0.05449248818856156,60.27397480531581,1.052286403373782,1.076839586605673,0
2024-03-12,24.700000762939453,0.050449707609493154,24.409600067138673,23.582500049046107,-0.8658847748899834,5,0.03737930772615594,60.337556393027235,1.0118969870461636,1.0473868636306245,0
2024-03-13,25.0,0.03400810229318897,24.534800033569336,23.63137935769969,-0.864255849223245,6,-0.04434250207103352,57.894735717953345,1.0189608216001012,1.0579153938322428,0
2024-03-14,24.43000030517578,0.033427302708673196,24.568000030517577,23.658000055948893,-0.8673508142039219,7,-0.07671953324020053,58.2207270822267,0.9943829483405089,1.0326316783921372,0
2024-03-15,23.489999771118164,0.028511542737924143,24.527200012207032,23.652580691922097,-0.8724547971729358,8,-0.09792630778628908,49.6208033678447,0.9577122443420912,0.9931262925208217,0
2024-03-18,24.0,0.0361800838784028,24.512000045776368,23.66343754529953,-0.8696856152543152,11,-0.05325445211655877,46.97833081956197,0.9791122697119695,1.0142228893860488,0
2024-03-19,23.799999237060547,0.03872339776221742,24.462000045776367,23.667575778383195,-0.870771572603112,12,-0.03643730761455255,46.50112341989813,0.9729375845197857,1.0055951424817366,0
2024-03-20,24.56999969482422,0.04122841915706586,24.48440002441406,23.694117658278522,-0.8665906502736384,13,-0.017200012207031268,47.15718914201838,1.0034960901767984,1.036966222974742,0
2024-03-21,24.489999771118164,0.03517784254889334,24.456399993896483,23.716857147216796,-0.8670250311418657,14,0.002455974833928787,47.528086781366184,1.0013738643966432,1.032598864980392,0
2024-03-22,24.18000030517578,0.01880164914717086,24.40720001220703,23.72972223493788,-0.8687082557116895,15,0.029374224809742167,50.841342516728275,0.9906912834361329,1.0189752777457692,0
2024-03-25,24.510000228881836,0.023631906398846037,24.41,23.7508108293688,-0.8669164333356946,18,0.021250009536743164,54.15677503067162,1.0040966910643931,1.0319647781697738,0
2024-03-26,24.889999389648438,0.040387721759126985,24.469599990844728,23.780789475691947,-0.8648531268007289,19,0.04579832720711097,40.155030553078134,1.0171804769575719,1.0466431072479867,0
2024-03-27,24.510000228881836,0.04879997253417969,24.540400009155274,23.7994871873122,-0.8669164333356946,20,-0.002441980736166749,35.068914320865275,0.9987612353400068,1.029854132401156,0
2024-03-28,23.010000228881836,0.05544063501688481,24.51720001220703,23.77975001335144,-0.8750610823822998,21,-0.06043281159935898,30.091976326816848,0.938524799627414,0.9676300304234731,0
2024-04-01,22.860000610351562,0.03524801923749545,24.512800064086914,23.75731710108315,-0.875875545215669,25,-0.05459055740961549,32.39037800316453,0.9325740246151305,0.9622298895572398,0
2024-04-02,22.719999313354492,0.048636436462402344,24.479200057983398,23.732619058518182,-0.8766357195024095,26,-0.07303145241990094,34.90852430808451,0.9281348761208732,0.957332153578716,0
2024-04-03,22.700000762939453,0.028074913240713595,24.406000061035158,23.708604679551236,-0.8767443069521238,27,-0.08798709041430464,31.687900604034354,0.9300991848795666,0.9574583181826087,0
2024-04-04,22.479999542236328,0.0713686307606814,24.32840003967285,23.68068183552135,-0.8779388621070916,28,-0.08282336465478357,33.55817316537515,0.9240229322757644,0.9492969711926122,0
2024-04-05,22.959999084472656,0.04518289406039557,24.243600006103517,23.664666663275824,-0.8753325768977275,29,-0.0021730179883449052,45.1553861684081,0.9470540298756083,0.9702227971840942,0
2024-04-08,23.0,0.02296363467926751,24.166399993896484,23.65021738798722,-0.8751153812853855,32,0.006124207607634213,39.99999999999999,0.9517346400708806,0.9725069170688686,0
2024-04-09,22.809999465942383,0.02724905703950483,24.117199935913085,23.632340410922435,-0.8761470397310966,33,0.003961274441367957,40.0801621590423,0.9457980000396257,0.9652027293665768,0
2024-04-10,22.420000076293945,0.0315030997849812,24.061599960327147,23.607083320617676,-0.8782646451691478,34,-0.01233483159624571,26.681125559430484,0.9317751152566797,0.9497149551174342,0
2024-04-11,22.84000015258789,0.02913906660166804,23.92879997253418,23.591428562086456,-0.8759841430218401,35,0.016014262352415987,33.33333333333333,0.9544983525627684,0.9681482447101072,0
