Strategy,initial_capital,final_capital,total_return,cash,cash_pct,position_value,position_pct,num_trades,buy_trades,sell_trades
Optimized,100000.0,166634.5896756537,0.666345896756537,81278.17788843192,48.77629431358521,85356.41178722178,51.22370568641479,58,32,26
Sell Proportional,100000.0,148700.32094254627,0.4870032094254627,69123.30727393147,46.484975174087765,79577.0136686148,53.51502482591223,61,35,26
Sell 3%,100000.0,148528.50044839352,0.4852850044839352,92959.4350705499,62.58693435260851,55569.06537784361,37.41306564739148,61,35,26
Sell 100%,100000.0,133221.77363802327,0.3322177363802326,133221.77363802327,100.0,0.0,0.0,44,35,9
