Date,Close,Volatility,MA_25,MA_100,Growth_Since_Last_Bottom,Days_Since_Last_Bottom,One_Week_Growth,Target
2015-01-02,172.5928497314453,0.01308272188754123,170.52240112304688,175.01994003295897,0.0,0,-0.005744031608043265,0
2015-01-05,169.47589111328125,0.014791541562207874,170.52240112304688,175.01994003295897,0.0,0,-0.005744031608043265,0
2015-01-06,167.8795928955078,0.019100404177838308,170.52240112304688,175.01994003295897,0.0,0,-0.005744031608043265,0
2015-01-07,169.9716339111328,0.00913512240401914,170.52240112304688,175.01994003295897,0.01246155640207643,1,-0.005744031608043265,0
2015-01-08,172.9877471923828,0.010636724804541853,170.52240112304688,175.01994003295897,0.030427487991672907,2,-0.005744031608043265,0
2015-01-09,171.60147094726562,0.014098855369001774,170.52240112304688,175.01994003295897,0.0221699254064453,3,-0.005744031608043265,0
2015-01-12,170.25726318359375,0.013110943136620496,170.52240112304688,175.01994003295897,0.014162950046977152,4,0.004610520500465842,0
2015-01-13,169.7783660888672,0.024348429059337404,170.52240112304688,175.01994003295897,0.011310327602123839,5,0.011310327602123804,0
2015-01-14,168.75338745117188,0.012672170581726313,170.52240112304688,175.01994003295897,0.005204888459599331,6,-0.007167351586429338,0
2015-01-15,167.20751953125,0.015523431772183878,170.52240112304688,175.01994003295897,0.0,0,-0.03341408715326244,0
2015-01-16,169.40028381347656,0.01645119586544173,170.52240112304688,175.01994003295897,0.013114029132025662,1,-0.012827320894384986,0
2015-01-20,169.7615509033203,0.012598829687030438,170.52240112304688,175.01994003295897,0.015274620299555251,2,-0.0029115485060916546,0
2015-01-21,170.61854553222656,0.013498765363290907,170.52240112304688,175.01994003295897,0.020399955758802248,3,0.004948683761743844,0
2015-01-22,173.15576171875,0.019265613853385294,170.52240112304688,175.01994003295897,0.03557401128953601,4,0.026087620130599953,0
2015-01-23,172.20640563964844,0.006268567894495397,170.52240112304688,175.01994003295897,0.029896299654539032,5,0.029896299654539105,0
2015-01-26,172.60964965820312,0.008353238234554293,170.52240112304688,175.01994003295897,0.03230793771773824,6,0.018945457306673408,0
2015-01-27,170.3328857421875,0.011725819627086189,170.52240112304688,175.01994003295897,0.018691541024585256,7,0.003365513779928664,0
2015-01-28,168.14846801757812,0.021452660348260984,170.52240112304688,175.01994003295897,0.005627429250586232,8,-0.014477192423269614,0
2015-01-29,169.7027587890625,0.018065726558364074,170.52240112304688,175.01994003295897,0.014923008635064142,9,-0.019941599952625788,0
2015-01-30,167.56874084472656,0.015156769083718004,170.52240112304688,175.01994003295897,0.0021603173977415087,10,-0.026930849509898325,0
2015-02-02,169.6439208984375,0.0208447793318275,170.52240112304688,175.01994003295897,0.014571123200784953,11,-0.017181708934803308,0
2015-02-03,172.09718322753906,0.011330064294373427,170.52240112304688,175.01994003295897,0.029243084940179475,12,0.01035793809083918,0
2015-02-04,171.44187927246094,0.00917031381310267,170.52240112304688,175.01994003295897,0.025323979167214208,13,0.0195863292345817,0
2015-02-05,173.17257690429688,0.0074685091025015835,170.52240112304688,175.01994003295897,0.0356745760583575,14,0.020446444948766462,0
2015-02-06,172.69369506835938,0.01123163899903046,170.52240112304688,175.01994003295897,0.032810579048653636,15,0.03058419009295843,0
2015-02-09,171.9207305908203,0.007325291637949666,170.49551635742188,175.01994003295897,0.028187793663726014,16,0.01342110981828748,0
2015-02-10,173.7523193359375,0.011851575595187533,170.66657348632813,175.01994003295897,0.03914177916779825,17,0.009617450311258713,0
2015-02-11,173.8531036376953,0.007840835934377979,170.90551391601562,175.01994003295897,0.039744528984555,18,0.014064383658571433,0
